,ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer
0,Alessandro_Volta,Was Alessandro Volta a professor of chemistry?,Alessandro Volta was not a professor of chemistry.,easy,easy
1,Alessandro_Volta,Was Alessandro Volta a professor of chemistry?,No,easy,hard
2,Alessandro_Volta,Did Alessandro Volta invent the remotely operated pistol?,Alessandro Volta did invent the remotely operated pistol.,easy,easy
3,Alessandro_Volta,Did Alessandro Volta invent the remotely operated pistol?,Yes,easy,easy
4,Alessandro_Volta,Was Alessandro Volta taught in public schools?,Volta was taught in public schools.,easy,easy
5,Alessandro_Volta,Was Alessandro Volta taught in public schools?,Yes,easy,easy
7,Alessandro_Volta,Who did Alessandro Volta marry?,Teresa Peregrini,medium,medium
8,Alessandro_Volta,What did Alessandro Volta invent in 1800?,"In 1800, Alessandro Volta invented the voltaic pile.",medium,easy
9,Alessandro_Volta,What did Alessandro Volta invent in 1800?,voltaic pile,medium,medium
10,Alessandro_Volta,What is the battery made by Alessandro Volta credited as?,The battery made by Volta is credited as the first electrochemical cell.,medium,medium
11,Alessandro_Volta,What is the battery made by Alessandro Volta credited as?,the first electrochemical cell,medium,medium
12,Alessandro_Volta,Did Alessandro Volta die and retire in the same place?,Alessandro Volta retired and died in the same place.,hard,hard
13,Alessandro_Volta,Did Alessandro Volta die and retire in the same place?,Yes,hard,hard
15,Alessandro_Volta,When did Alessandro Volta improve  and popularize the electrophorus?,1775,hard,hard
16,Alessandro_Volta,How long was Alessandro Volta a professor at the University of Pavia?,Alessandro Volta was a professor at the University of Pavia for almost 25 years.,hard,hard
17,Alessandro_Volta,How long was Alessandro Volta a professor at the University of Pavia?,almost 25 years,hard,hard
18,Alessandro_Volta,Was Alessandro Volta an Egyptian?,no,easy,easy
19,Alessandro_Volta,Was Alessandro Volta an Egyptian?,No.,easy,easy
20,Alessandro_Volta,Was Volta taught in public schools?,yes,easy,easy
21,Alessandro_Volta,Was Volta taught in public schools?,Yes.,easy,easy
22,Alessandro_Volta,Was Volta made a count in 1810?,yes,easy,easy
23,Alessandro_Volta,Was Volta made a count in 1810?,No.,easy,easy
24,Alessandro_Volta,Who made Volta a count?,Napoleon,medium,medium
25,Alessandro_Volta,Who made Volta a count?,Napoleon,medium,medium
27,Alessandro_Volta,Where was Volta born?,"Como, Italy",medium,medium
28,Alessandro_Volta,When did Volta retire?,1819,medium,medium
29,Alessandro_Volta,When did Volta retire?,In 1819.,medium,medium
31,Alessandro_Volta,Was Volta buried where he died or was he buried someplace else?,where he died,hard,hard
32,Alessandro_Volta,Was Volta buried where he died or was he buried someplace else?,Yes.,hard,hard
33,Alessandro_Volta,Did Volta marry before he became professor of experimental physics at the University of Pavia?,no,hard,medium
34,Alessandro_Volta,Did Volta marry before he became professor of experimental physics at the University of Pavia?,No.,hard,hard
35,Alessandro_Volta,What happened in 1810?,Volta was made a count by Napoleon.,,hard
36,Alessandro_Volta,Wasn't Alessandro Volta born in Como?,"Yes, Volta was born in Como, Italy and was taught in the public schools there.",,easy
37,Alessandro_Volta,Was Alessandro Volta born in Como?,yes,,easy
38,Alessandro_Volta,Who became a professor of physics at the Royal School in Como?,Volta.,,hard
39,Alessandro_Volta,When was Volta made a count by Napoleon?,Volta was made a count by Napoleon in 1810.,,medium
40,Alessandro_Volta,Is Voltas legacy celebrated by a Temple on the shore of Lake Como in the center of the town?,Yes,,easy
41,Alessandro_Volta,Is the battery made by Volta credited as the first electrochemical cell?,Yes,,easy
42,Alessandro_Volta,Was Volta made a count by Napoleon in 1810?,"Yes, Volta was made a count by Napoleon in 1810.",,easy
43,Alessandro_Volta,In what year did he become a professor of physics at the Royal School in Como?,1774,,medium
44,Amedeo_Avogadro,Was Avogadro a  professor at the University of Turin?,Yes,easy,easy
45,Amedeo_Avogadro,Was Avogadro a  professor at the University of Turin?,"Yes, Avogadro was a professor at the University of Turin.",easy,easy
48,Amedeo_Avogadro,Is Avogadro's number used to compute the results of chemical reactions?,Yes,easy,easy
49,Amedeo_Avogadro,Is Avogadro's number used to compute the results of chemical reactions?,"Yes, Avagadro's number is used to compute the results of chemical reactions.",easy,easy
50,Amedeo_Avogadro,Who first calculated the value of Avogadro's number?,Johann Josef Loschmidt,medium,medium
